Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
1750,-17.65,-40,1,0,1,9,3,6,4,4,9,5,9
1760,-19.85,-40,1,0,1,1,9,9,5,4,9,5,9
1770,-34.33,-40,1,0,1,5,5,4,6,4,9,5,9
4200,-4.08,21.4,1,1,2,0,5,5,8,4,9,5,9
1790,-32.03,-40,1,0,1,6,0,7,8,4,9,5,9
1800,-22.33,-40,1,0,1,3,2,3,8,4,9,5,9
1810,-34.45,-40,0,1,1,7,5,7,8,4,9,5,9
1820,-29.7,-40,1,0,1,0,0,4,3,4,9,5,9
1830,-197.2,-40,1,0,1,3,7,1,2,4,9,5,9
1840,-20.33,-40,1,0,1,8,2,0,1,4,9,5,9
1850,-20.98,-40,1,0,1,0,5,6,6,4,9,5,9
1860,-21.43,-40,1,0,1,3,4,3,2,4,9,5,9
1870,-33.77,-40,1,0,1,0,0,8,5,4,9,5,9
1880,-17.7,-40,1,0,1,0,8,2,7,4,9,5,9
1260,-54.47,20.1,1,1,2,7,8,8,9,4,9,5,9
1900,-27.35,-40,1,0,1,8,7,6,2,4,9,5,9
1910,-17.98,-40,1,0,1,9,5,7,8,4,9,5,9
1920,-41.6,-40,1,0,1,3,7,1,6,4,9,5,9
1930,-26.33,-40,1,0,1,0,8,8,8,4,9,5,9
1940,-15.65,-40,1,0,1,5,4,3,8,4,9,5,9
1950,-48.62,-40,1,0,1,5,4,5,2,4,9,5,9
1960,-77.35,-40,0,0,0,0,8,0,3,4,9,5,9
1970,-205.57,-40,1,0,1,3,1,8,0,4,9,5,9
1980,-334.08,-40,0,0,0,4,0,1,5,4,9,5,9
1990,-65.67,-40,1,0,1,7,5,2,3,4,9,5,9
2000,-61.97,-40,1,0,1,9,9,2,0,4,9,5,9
2010,-28.03,-40,1,0,1,0,8,4,3,4,9,5,9
2020,-25.73,-40,1,0,1,4,5,8,7,4,9,5,9
2030,-18.98,-40,1,0,1,2,9,8,7,4,9,5,9
2040,-56.1,-40,1,0,1,0,0,0,4,4,9,5,9
2050,-35.95,-40,1,0,1,7,4,0,1,4,9,5,9
2060,-38.33,-40,1,0,1,4,8,0,6,4,9,5,9
2070,-29.8,-40,0,1,1,9,2,2,9,4,9,5,9
2080,-81.5,-40,0,0,0,5,0,1,8,4,9,5,9
2090,-111.07,-40,1,0,1,6,5,2,5,4,9,5,9
2100,-17.63,-40,1,0,1,3,9,0,4,4,9,5,9
2110,-296,-40,0,0,0,6,4,9,5,4,9,5,9
2120,-94.65,-40,1,0,1,1,2,8,0,4,9,5,9
2130,-184.75,-40,0,0,0,1,0,1,7,4,9,5,9
2140,-48.77,-40,0,1,1,9,0,5,8,4,9,5,9
2150,-205.15,-40,1,0,1,7,9,1,0,4,9,5,9
2160,-23.85,-40,1,0,1,9,7,3,3,4,9,5,9
2170,-49.35,-40,1,0,1,8,5,6,7,4,9,5,9
2180,-55.53,-40,1,0,1,3,4,8,3,4,9,5,9
2190,-17.6,-40,1,0,1,0,0,6,7,4,9,5,9
2200,-232.12,-40,1,0,1,0,3,4,2,4,9,5,9
2210,-213.63,-40,1,0,1,1,2,8,6,4,9,5,9
2220,-181.5,-40,1,0,1,8,1,5,0,4,9,5,9
2230,-197.5,-40,0,0,0,8,0,8,8,4,9,5,9
2240,-243.12,-40,0,0,0,8,8,0,1,4,9,5,9
2250,-207.98,-40,1,0,1,1,4,1,2,4,9,5,9
2260,-26,-40,1,0,1,3,3,0,8,4,9,5,9
2270,-17.3,-40,1,0,1,4,4,5,4,4,9,5,9
2280,-16.28,-40,1,0,1,6,7,7,7,4,9,5,9
2290,-18.9,-40,1,0,1,9,7,6,0,4,9,5,9
2300,-27.7,-40,1,0,1,9,1,9,4,4,9,5,9
2310,-118.97,-40,0,0,0,4,7,2,3,4,9,5,9
2320,-85.62,-40,0,0,0,5,0,3,1,4,9,5,9
2330,-318.1,-40,0,0,0,1,0,4,2,4,9,5,9
2340,-30.3,-40,1,0,1,3,1,7,3,4,9,5,9
2350,-48.18,-40,0,0,0,0,2,1,3,4,9,5,9
2360,-16.7,-40,1,0,1,4,8,8,9,4,9,5,9
2370,-33.28,-40,1,0,1,7,9,3,5,4,9,5,9
2380,-150.9,-40,0,0,0,4,2,1,8,4,9,5,9
2390,-68.1,-40,0,0,0,1,2,5,6,4,9,5,9
2400,-113.97,-40,1,0,1,7,4,3,1,4,9,5,9
2410,-219.75,-40,0,0,0,0,8,1,2,4,9,5,9
2420,-21.85,-40,1,0,1,5,8,5,6,4,9,5,9
1600,-53.07,19.3,1,1,2,5,1,0,8,4,9,5,9
2440,-66.95,-40,1,0,1,7,3,1,7,4,9,5,9
2450,-16.2,-40,1,0,1,3,3,0,0,4,9,5,9
2460,-84.62,-40,0,0,0,1,2,5,1,4,9,5,9
2470,-177.17,-40,0,0,0,5,1,4,4,4,9,5,9
2480,-111.7,-40,0,0,0,8,0,0,2,4,9,5,9
2490,-149.03,-40,0,0,0,3,0,2,5,4,9,5,9
2500,-198.8,-40,1,0,1,6,2,2,2,4,9,5,9
